2025-09-08 16:46:41 JST - INFO - 損失: Conv=31.335, Seq=43.906, Dist=0.026, 総計=75.266
2025-09-08 16:46:42 JST - INFO - 損失: Conv=39.245, Seq=55.678, Dist=0.009, 総計=94.932
2025-09-08 16:46:42 JST - INFO - 損失: Conv=32.613, Seq=48.449, Dist=0.014, 総計=81.077
2025-09-08 16:46:42 JST - INFO - 損失: Conv=34.317, Seq=43.989, Dist=0.044, 総計=78.350
2025-09-08 16:46:43 JST - INFO - 損失: Conv=34.996, Seq=50.103, Dist=0.010, 総計=85.109
2025-09-08 16:46:43 JST - INFO - 損失: Conv=29.956, Seq=42.372, Dist=0.027, 総計=72.355
2025-09-08 16:46:43 JST - INFO - 損失: Conv=35.114, Seq=51.223, Dist=0.022, 総計=86.359
2025-09-08 16:46:44 JST - INFO - 損失: Conv=43.475, Seq=58.852, Dist=0.039, 総計=102.366
2025-09-08 16:46:44 JST - INFO - 損失: Conv=36.135, Seq=51.378, Dist=0.030, 総計=87.542
2025-09-08 16:46:45 JST - INFO - 損失: Conv=36.798, Seq=53.241, Dist=0.026, 総計=90.065
2025-09-08 16:46:45 JST - INFO - 損失: Conv=36.084, Seq=51.143, Dist=0.035, 総計=87.262
2025-09-08 16:46:45 JST - INFO - 損失: Conv=34.796, Seq=51.934, Dist=0.021, 総計=86.751
2025-09-08 16:46:46 JST - INFO - 損失: Conv=30.696, Seq=44.976, Dist=0.015, 総計=75.688
2025-09-08 16:46:46 JST - INFO - 損失: Conv=41.990, Seq=59.812, Dist=0.028, 総計=101.830
2025-09-08 16:46:47 JST - INFO - 損失: Conv=36.172, Seq=53.761, Dist=0.025, 総計=89.958
2025-09-08 16:46:47 JST - INFO - 損失: Conv=39.359, Seq=57.090, Dist=0.012, 総計=96.461
2025-09-08 16:46:47 JST - INFO - 損失: Conv=39.486, Seq=56.979, Dist=0.019, 総計=96.484
2025-09-08 16:46:48 JST - INFO - 損失: Conv=30.670, Seq=43.485, Dist=0.033, 総計=74.188
2025-09-08 16:46:48 JST - INFO - 損失: Conv=36.638, Seq=52.783, Dist=0.032, 総計=89.453
2025-09-08 16:46:49 JST - INFO - 損失: Conv=36.831, Seq=54.064, Dist=0.023, 総計=90.918
2025-09-08 16:46:49 JST - INFO - 損失: Conv=42.568, Seq=56.952, Dist=0.039, 総計=99.559
2025-09-08 16:46:49 JST - INFO - 損失: Conv=31.496, Seq=45.176, Dist=0.026, 総計=76.698
2025-09-08 16:46:50 JST - INFO - 損失: Conv=36.700, Seq=48.542, Dist=0.043, 総計=85.285
2025-09-08 16:46:50 JST - INFO - 損失: Conv=39.722, Seq=52.128, Dist=0.044, 総計=91.894
2025-09-08 16:46:51 JST - INFO - 損失: Conv=29.012, Seq=40.207, Dist=0.030, 総計=69.250
2025-09-08 16:46:51 JST - INFO - 損失: Conv=41.053, Seq=60.705, Dist=0.023, 総計=101.782
2025-09-08 16:46:52 JST - INFO - 損失: Conv=39.320, Seq=56.365, Dist=0.014, 総計=95.699
2025-09-08 16:46:53 JST - INFO - 損失: Conv=41.091, Seq=54.419, Dist=0.046, 総計=95.556
2025-09-08 16:46:53 JST - INFO - 損失: Conv=37.288, Seq=53.388, Dist=0.013, 総計=90.689
2025-09-08 16:46:53 JST - INFO - 損失: Conv=28.268, Seq=41.472, Dist=0.025, 総計=69.765
2025-09-08 16:46:54 JST - INFO - 損失: Conv=33.412, Seq=49.412, Dist=0.018, 総計=82.842
2025-09-08 16:46:54 JST - INFO - 損失: Conv=25.764, Seq=35.149, Dist=0.036, 総計=60.948
2025-09-08 16:46:54 JST - INFO - 損失: Conv=35.222, Seq=48.227, Dist=0.039, 総計=83.489
2025-09-08 16:46:55 JST - INFO - 損失: Conv=32.291, Seq=45.120, Dist=0.012, 総計=77.423
2025-09-08 16:46:55 JST - INFO - 損失: Conv=34.052, Seq=49.469, Dist=0.014, 総計=83.535
2025-09-08 16:46:56 JST - INFO - 損失: Conv=29.567, Seq=43.865, Dist=0.018, 総計=73.449
2025-09-08 16:46:56 JST - INFO - 損失: Conv=30.136, Seq=44.153, Dist=0.021, 総計=74.310
2025-09-08 16:46:56 JST - INFO - 損失: Conv=36.518, Seq=52.929, Dist=0.013, 総計=89.460
2025-09-08 16:46:57 JST - INFO - 損失: Conv=33.144, Seq=49.009, Dist=0.026, 総計=82.178
2025-09-08 16:46:57 JST - INFO - 損失: Conv=32.867, Seq=47.262, Dist=0.029, 総計=80.157
2025-09-08 16:46:57 JST - INFO - 損失: Conv=33.282, Seq=45.387, Dist=0.040, 総計=78.708
2025-09-08 16:46:58 JST - INFO - 損失: Conv=39.518, Seq=57.907, Dist=0.016, 総計=97.441
2025-09-08 16:46:58 JST - INFO - 損失: Conv=40.738, Seq=61.193, Dist=0.025, 総計=101.956
2025-09-08 16:46:59 JST - INFO - 損失: Conv=33.572, Seq=47.729, Dist=0.028, 総計=81.329
2025-09-08 16:46:59 JST - INFO - 損失: Conv=35.909, Seq=54.181, Dist=0.026, 総計=90.116
2025-09-08 16:46:59 JST - INFO - 損失: Conv=30.198, Seq=43.563, Dist=0.024, 総計=73.784
2025-09-08 16:47:00 JST - INFO - 損失: Conv=41.517, Seq=62.865, Dist=0.019, 総計=104.401
2025-09-08 16:47:00 JST - INFO - 損失: Conv=29.692, Seq=43.881, Dist=0.016, 総計=73.589
2025-09-08 16:47:01 JST - INFO - 損失: Conv=35.609, Seq=51.617, Dist=0.014, 総計=87.239
2025-09-08 16:47:01 JST - INFO - 損失: Conv=37.363, Seq=50.236, Dist=0.041, 総計=87.640
2025-09-08 16:47:02 JST - INFO - 損失: Conv=35.063, Seq=50.903, Dist=0.029, 総計=85.995
2025-09-08 16:47:02 JST - INFO - 損失: Conv=25.051, Seq=36.302, Dist=0.019, 総計=61.373
2025-09-08 16:47:02 JST - INFO - 損失: Conv=37.263, Seq=54.926, Dist=0.020, 総計=92.208
2025-09-08 16:47:03 JST - INFO - 損失: Conv=29.901, Seq=44.517, Dist=0.015, 総計=74.432
2025-09-08 16:47:03 JST - INFO - 損失: Conv=34.516, Seq=50.834, Dist=0.026, 総計=85.376
2025-09-08 16:47:03 JST - INFO - 損失: Conv=37.792, Seq=56.748, Dist=0.022, 総計=94.562
2025-09-08 16:47:04 JST - INFO - 損失: Conv=33.227, Seq=48.088, Dist=0.014, 総計=81.330
